season,team,player_id,player_name,age,minutes
2018,Barcelona,283170,Iñaki Peña,19,
2018,Barcelona,74857,Marc-André ter Stegen,26,4410.0
2018,Barcelona,379548,Jokin Ezkieta,21,
2018,Barcelona,146227,Jasper Cillessen,29,990.0
2018,Barcelona,605184,Jean-Clair Todibo,18,158.0
2018,Barcelona,341227,Juan Miranda,18,316.0
2018,Barcelona,494880,Jorge Cuenca,18,61.0
2018,Barcelona,231572,Nélson Semedo,24,2887.0
2018,Barcelona,182904,Clément Lenglet,23,3654.0
2018,Barcelona,333361,Chumi,19,238.0
2018,Barcelona,131102,Jeison Murillo,26,292.0
2018,Barcelona,331508,Guillem Jaime,19,
2018,Barcelona,364240,Moussa Wagué,19,225.0
2018,Barcelona,18944,Gerard Piqué,31,4680.0
2018,Barcelona,69751,Jordi Alba,29,4512.0
2018,Barcelona,126540,Samuel Umtiti,24,1269.0
2018,Barcelona,15904,Thomas Vermaelen,32,770.0
2018,Barcelona,331511,Riqui Puig,18,192.0
2018,Barcelona,362842,Arthur Melo,21,2478.0
2018,Barcelona,284854,Carles Aleñá,20,1079.0
2018,Barcelona,80444,Philippe Coutinho,26,3349.0
2018,Barcelona,282722,Álex Collado,19,84.0
2018,Barcelona,85370,Sergi Roberto,26,3218.0
2018,Barcelona,165007,Denis Suárez,24,261.0
2018,Barcelona,181112,Sergi Samper,23,33.0
2018,Barcelona,282721,Uri Busquets,19,55.0
2018,Barcelona,37666,Arturo Vidal,31,2746.0
2018,Barcelona,32467,Ivan Rakitic,30,4238.0
2018,Barcelona,65230,Sergio Busquets,29,4335.0
2018,Barcelona,129473,Rafinha,25,349.0
2018,Barcelona,16922,Kevin-Prince Boateng,31,303.0
2018,Barcelona,288230,Ousmane Dembélé,21,2506.0
2018,Barcelona,323704,Malcom,21,1068.0
2018,Barcelona,28003,Lionel Messi,31,4024.0
2018,Barcelona,340376,Abel Ruiz,18,21.0
2018,Barcelona,282810,Carles Pérez,20,17.0
2018,Barcelona,44352,Luis Suárez,31,4132.0
2018,Barcelona,223725,Munir El Haddadi,22,393.0
2018,Barcelona,126716,Paco Alcácer,24,
2018,Atletico Madrid,121483,Jan Oblak,25,4170.0
2018,Atletico Madrid,44062,Antonio Adán,31,450.0
2018,Atletico Madrid,396341,Álex dos Santos,19,
2018,Atletico Madrid,281963,Lucas Hernández,22,1773.0
2018,Atletico Madrid,491693,Nehuén Pérez,18,
2018,Atletico Madrid,250845,José María Giménez,23,2323.0
2018,Atletico Madrid,618809,Manu Sánchez,17,
2018,Atletico Madrid,120443,Santiago Arias,26,2478.0
2018,Atletico Madrid,396333,Javi Montero,19,702.0
2018,Atletico Madrid,396324,Carlos Isaac,20,90.0
2018,Atletico Madrid,354697,Tachi,20,
2018,Atletico Madrid,107010,Stefan Savic,27,1783.0
2018,Atletico Madrid,54928,Diego Godín,32,3347.0
2018,Atletico Madrid,21725,Filipe Luís,32,2441.0
2018,Atletico Madrid,16635,Juanfran Torres,33,2336.0
2018,Atletico Madrid,461618,Andrés Solano,20,45.0
